keys,en
Tes livraisons terminées ce tour-ci rapportent le double.,Deliveries completed this turn score double.
Ton déplacement s'arrête immédiatement.,Your movement stops immediately.
Tour : %s,Turn: %s
Tournée du jour : %d pts livrés au total,Today's round: %d pts delivered in total
Tous les Feux sont au Vert,All Green Lights
Tous les blocs sont posés.,All blocks are placed.
Tous les feux au vert — tu rejoues un tour !,All green lights — you play another turn!
Tout aléatoire,Randomize all
Tu perds %d cases de déplacement.,You lose %d tiles of movement.
Tu rejoues un tour complet juste après.,You play a full extra turn right after.
Tutoriel,Tutorial
Téléportation,Teleport
Un raccourci te mène au prochain drive disponible.,A shortcut takes you to the next available pickup point.
Une faille te projette au drive le plus éloigné.,A rift throws you to the farthest pickup point.
Une route est bloquée : détour de 3 cases.,A road is blocked: a 3-tile detour.
"VALIDER
LE PLACEMENT","CONFIRM
PLACEMENT"
Vainqueur : %s — %d pts,Winner: %s — %d pts
Violet,Purple
Voie Verte Prioritaire,Priority Green Lane
Voiture,Car
Vélo,Bike
cette livraison,this delivery
dont +%d de chaînage (livraisons groupées),including +%d from chaining (grouped deliveries)
"presque, on l'aura la prochaine fois.",so close — next time.
tu l'as battu !,you beat it!
À pied,On foot
À toi de jouer — lance les dés.,Your turn — roll the dice.
À venir :,Coming up:
À vélo uniquement,Bike only
ÉVÉNEMENT,EVENT
Équipe Bleue,Blue Team
Équipe Jaune,Yellow Team
Équipe Rouge,Red Team
Équipe Violette,Purple Team
Évaluation Positive,Positive Review
Événement !,Event!
−%d cases,−%d tiles
−2 cases,−2 tiles
−3 cases,−3 tiles
⚙ Réglages,⚙ Settings
⭐  Score,⭐  Score
🌈  Cases & pouvoirs,🌈  Tiles & powers
"🌈 Événement : pioche 2 cartes, garde 1 (consommée, réarmée à la manche suivante)","🌈 Event: draw 2 cards, keep 1 (spent, re-armed next round)"
"🍀 Coup de pouce (2 par joueur·euse) : juste après le lancer, relance tout ou fixe un dé au max","🍀 Lucky Break (2 per player): right after rolling, reroll everything or lock a die at max"
🎲  Ton tour,🎲  Your turn
🏠 Drive  ·  🎯 Destinataire  ·  🚩 Départ  ·  🌉 Pont,🏠 Pickup  ·  🎯 Recipient  ·  🚩 Start  ·  🌉 Bridge
📦  Livraisons,📦  Deliveries
🤖 Ce siège : Humain,🤖 This seat: Human
🤖 Ce siège : IA,🤖 This seat: AI
